ODS,Year,Q,Variable,Value
RR8,2017,Q4,General and Accute - Available,1687
RR8,2017,Q4,General and Accute - Occupied,1615
RRF,2017,Q4,General and Accute - Available,495
RRF,2017,Q4,General and Accute - Occupied,456
RT2,2017,Q4,General and Accute - Available,
RT2,2017,Q4,General and Accute - Occupied,
RTD,2017,Q4,General and Accute - Available,1492
RTD,2017,Q4,General and Accute - Occupied,1311
RTF,2017,Q4,General and Accute - Available,933
RTF,2017,Q4,General and Accute - Occupied,798
RTR,2017,Q4,General and Accute - Available,935
RTR,2017,Q4,General and Accute - Occupied,846
RTV,2017,Q4,General and Accute - Available,
RTV,2017,Q4,General and Accute - Occupied,
RTX,2017,Q4,General and Accute - Available,676
RTX,2017,Q4,General and Accute - Occupied,590
RV9,2017,Q4,General and Accute - Available,
RV9,2017,Q4,General and Accute - Occupied,
RVW,2017,Q4,General and Accute - Available,615
RVW,2017,Q4,General and Accute - Occupied,562
RVY,2017,Q4,General and Accute - Available,433
RVY,2017,Q4,General and Accute - Occupied,294
RW3,2017,Q4,General and Accute - Available,1112
RW3,2017,Q4,General and Accute - Occupied,1026
RW4,2017,Q4,General and Accute - Available,
RW4,2017,Q4,General and Accute - Occupied,
RW5,2017,Q4,General and Accute - Available,
RW5,2017,Q4,General and Accute - Occupied,
RW6,2017,Q4,General and Accute - Available,1194
RW6,2017,Q4,General and Accute - Occupied,1048
RWA,2017,Q4,General and Accute - Available,1000
RWA,2017,Q4,General and Accute - Occupied,931
RWJ,2017,Q4,General and Accute - Available,706
RWJ,2017,Q4,General and Accute - Occupied,630
RWW,2017,Q4,General and Accute - Available,573
RWW,2017,Q4,General and Accute - Occupied,511
RWY,2017,Q4,General and Accute - Available,762
RWY,2017,Q4,General and Accute - Occupied,671
RX3,2017,Q4,General and Accute - Available,
RX3,2017,Q4,General and Accute - Occupied,
RX4,2017,Q4,General and Accute - Available,50
RX4,2017,Q4,General and Accute - Occupied,41
RXA,2017,Q4,General and Accute - Available,
RXA,2017,Q4,General and Accute - Occupied,
RXE,2017,Q4,General and Accute - Available,62
RXE,2017,Q4,General and Accute - Occupied,53
RXF,2017,Q4,General and Accute - Available,1002
RXF,2017,Q4,General and Accute - Occupied,932
RXG,2017,Q4,General and Accute - Available,76
RXG,2017,Q4,General and Accute - Occupied,71
