ODS,Year,Q,Variable,Value
RCU,2014,Q2,General and Accute - Occupied,91
RFF,2014,Q2,General and Accute - Available,380
RFF,2014,Q2,General and Accute - Occupied,335
RFR,2014,Q2,General and Accute - Available,443
RFR,2014,Q2,General and Accute - Occupied,404
RHQ,2014,Q2,General and Accute - Available,1951
RHQ,2014,Q2,General and Accute - Occupied,1490
RP5,2014,Q2,General and Accute - Available,871
RP5,2014,Q2,General and Accute - Occupied,730
RXE,2014,Q2,General and Accute - Available,72
RXE,2014,Q2,General and Accute - Occupied,48
TAH,2014,Q2,General and Accute - Available,
TAH,2014,Q2,General and Accute - Occupied,
RAE,2014,Q2,General and Accute - Available,670
RAE,2014,Q2,General and Accute - Occupied,471
RCF,2014,Q2,General and Accute - Available,332
RCF,2014,Q2,General and Accute - Occupied,266
RGD,2014,Q2,General and Accute - Available,
RGD,2014,Q2,General and Accute - Occupied,
RR8,2014,Q2,General and Accute - Available,1651
RR8,2014,Q2,General and Accute - Occupied,1402
RWY,2014,Q2,General and Accute - Available,694
RWY,2014,Q2,General and Accute - Occupied,592
RXF,2014,Q2,General and Accute - Available,972
RXF,2014,Q2,General and Accute - Occupied,808
RXG,2014,Q2,General and Accute - Available,76
RXG,2014,Q2,General and Accute - Occupied,65
RY6,2014,Q2,General and Accute - Available,58
RY6,2014,Q2,General and Accute - Occupied,50
TAD,2014,Q2,General and Accute - Available,
TAD,2014,Q2,General and Accute - Occupied,
R1A,2014,Q2,General and Accute - Available,83
R1A,2014,Q2,General and Accute - Occupied,67
RJC,2014,Q2,General and Accute - Available,473
RJC,2014,Q2,General and Accute - Occupied,405
RKB,2014,Q2,General and Accute - Available,1073
RKB,2014,Q2,General and Accute - Occupied,1042
RLQ,2014,Q2,General and Accute - Available,222
RLQ,2014,Q2,General and Accute - Occupied,211
RLT,2014,Q2,General and Accute - Available,292
RLT,2014,Q2,General and Accute - Occupied,287
RWP,2014,Q2,General and Accute - Available,765
RWP,2014,Q2,General and Accute - Occupied,624
RYG,2014,Q2,General and Accute - Available,
RYG,2014,Q2,General and Accute - Occupied,
RBK,2014,Q2,General and Accute - Available,478
RBK,2014,Q2,General and Accute - Occupied,428
RL4,2014,Q2,General and Accute - Available,782
RL4,2014,Q2,General and Accute - Occupied,716
