ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RRV,99.81%,85.09%,81.39%,87.08%,74.82%,97.27%,79.63%,87.03%
RRK,99.74%,93.91%,88.62%,94.70%,90.59%,99.47%,88.29%,90.03%
RJE,99.20%,90.79%,90.69%,91.24%,89.07%,98.26%,88.56%,92.53%
RM2,-,-,-,-,-,-,-,-
RHM,98.39%,85.53%,98.93%,83.03%,76.66%,90.05%,58.35%,62.80%
RA7,99.77%,93.26%,98.62%,91.43%,92.02%,93.85%,81.54%,80.37%
RKB,99.27%,89.03%,88.47%,89.30%,86.74%,96.57%,69.56%,82.21%
RWE,98.95%,89.56%,92.50%,89.05%,79.66%,90.71%,77.48%,90.60%
RTX,95.84%,86.86%,84.49%,87.84%,76.48%,89.77%,66.06%,76.18%
RBK,99.15%,82.00%,85.18%,81.12%,80.32%,90.71%,72.00%,76.37%
RET,99.85%,96.82%,99.20%,95.03%,95.54%,98.01%,92.78%,94.39%
RWW,99.48%,88.68%,84.02%,90.46%,81.42%,94.99%,74.54%,80.12%
RWG,98.72%,86.26%,93.10%,84.94%,82.56%,90.59%,54.03%,65.55%
RKL,93.37%,79.59%,83.68%,78.98%,84.60%,87.84%,83.06%,76.03%
RGR,99.98%,89.23%,92.16%,88.37%,82.21%,95.26%,82.31%,84.79%
RYR,99.74%,89.04%,94.03%,87.66%,92.55%,98.06%,95.08%,96.50%
RA3,98.71%,91.73%,89.45%,92.85%,79.08%,96.68%,90.02%,90.80%
RBL,99.03%,74.59%,60.87%,79.71%,79.69%,95.01%,77.16%,85.99%
RWP,98.91%,84.44%,79.15%,86.40%,79.03%,93.84%,71.21%,81.32%
R1A,99.54%,94.49%,96.46%,92.89%,89.18%,93.15%,77.69%,87.32%
RRF,99.94%,97.69%,95.58%,98.30%,96.32%,99.47%,96.63%,98.79%
RLQ,93.40%,90.32%,91.72%,89.89%,76.50%,90.28%,75.27%,78.13%
RA4,98.56%,84.72%,92.38%,81.73%,83.27%,93.53%,80.52%,85.63%
RCB,94.82%,79.21%,82.35%,77.78%,74.62%,86.64%,59.12%,66.74%
